valid_time,latitude,longitude,tp,number
2012-01-01,19.05,72.8,0.0,0
2012-01-01,18.8,72.8,0.0,0
2012-01-02,19.05,72.8,0.0,0
2012-01-02,18.8,72.8,0.0,0
2012-01-03,19.05,72.8,0.0,0
2012-01-03,18.8,72.8,0.0,0
2012-01-04,19.05,72.8,3.576511e-08,0
2012-01-04,18.8,72.8,7.943062e-09,0
2012-01-05,19.05,72.8,0.0,0
2012-01-05,18.8,72.8,0.0,0
2012-01-06,19.05,72.8,0.0,0
2012-01-06,18.8,72.8,0.0,0
2012-01-07,19.05,72.8,0.0,0
2012-01-07,18.8,72.8,0.0,0
2012-01-08,19.05,72.8,0.0,0
2012-01-08,18.8,72.8,0.0,0
2012-01-09,19.05,72.8,0.0,0
2012-01-09,18.8,72.8,0.0,0
2012-01-10,19.05,72.8,0.0,0
2012-01-10,18.8,72.8,0.0,0
2012-01-11,19.05,72.8,0.0,0
2012-01-11,18.8,72.8,0.0,0
2012-01-12,19.05,72.8,0.0,0
2012-01-12,18.8,72.8,0.0,0
2012-01-13,19.05,72.8,0.0,0
2012-01-13,18.8,72.8,0.0,0
2012-01-14,19.05,72.8,0.0,0
2012-01-14,18.8,72.8,0.0,0
2012-01-15,19.05,72.8,0.0,0
2012-01-15,18.8,72.8,0.0,0
2012-01-16,19.05,72.8,0.0,0
2012-01-16,18.8,72.8,0.0,0
2012-01-17,19.05,72.8,0.0,0
2012-01-17,18.8,72.8,0.0,0
2012-01-18,19.05,72.8,0.0,0
2012-01-18,18.8,72.8,0.0,0
2012-01-19,19.05,72.8,1.9865546e-07,0
2012-01-19,18.8,72.8,2.1459071e-07,0
2012-01-20,19.05,72.8,0.0,0
2012-01-20,18.8,72.8,0.0,0
2012-01-21,19.05,72.8,0.0,0
2012-01-21,18.8,72.8,0.0,0
2012-01-22,19.05,72.8,1.5889853e-08,0
2012-01-22,18.8,72.8,3.971531e-09,0
2012-01-23,19.05,72.8,0.0,0
2012-01-23,18.8,72.8,0.0,0
2012-01-24,19.05,72.8,0.0,0
2012-01-24,18.8,72.8,0.0,0
2012-01-25,19.05,72.8,0.0,0
2012-01-25,18.8,72.8,0.0,0
2012-01-26,19.05,72.8,0.0,0
2012-01-26,18.8,72.8,0.0,0
2012-01-27,19.05,72.8,0.0,0
2012-01-27,18.8,72.8,0.0,0
2012-01-28,19.05,72.8,0.0,0
2012-01-28,18.8,72.8,0.0,0
2012-01-29,19.05,72.8,0.0,0
2012-01-29,18.8,72.8,0.0,0
2012-01-30,19.05,72.8,0.0,0
2012-01-30,18.8,72.8,0.0,0
2012-01-31,19.05,72.8,0.0,0
2012-01-31,18.8,72.8,0.0,0
2012-02-01,19.05,72.8,0.0,0
2012-02-01,18.8,72.8,0.0,0
2012-02-02,19.05,72.8,0.0,0
2012-02-02,18.8,72.8,0.0,0
2012-02-03,19.05,72.8,0.0,0
2012-02-03,18.8,72.8,0.0,0
2012-02-04,19.05,72.8,0.0,0
2012-02-04,18.8,72.8,0.0,0
2012-02-05,19.05,72.8,0.0,0
2012-02-05,18.8,72.8,0.0,0
2012-02-06,19.05,72.8,0.0,0
2012-02-06,18.8,72.8,0.0,0
2012-02-07,19.05,72.8,0.0,0
2012-02-07,18.8,72.8,0.0,0
2012-02-08,19.05,72.8,0.0,0
